ocrr_dt,y_volt,x_volt,volt_rate,atmp_tmpr,road_tmpr,avg_road_stts_cd,trinspct_road_stts_cd,avg_road_ascat_symbl,trinspct_road_ascat_symbl,avg_rdsrfc_frct_nmvl,trinspct_rdsrfc_frct_nmvl,lens_stts_cd,surfc_grip,rltv_hmdt,scnd_atmp_tmpr,eqpm_tmpr,lat,lon
2024-02-05 02:50:04.818,311,263,1.186,4.11,1.01,5,5,IC1,IC1,9,8,4,FAIR,88.46,3.94,8.02,34.45614570099021,126.20856866045659
2024-02-05 03:00:04.737,366,220,1.667,4.09,1.01,5,5,IC1,IC1,9,9,4,FAIR,89.73,3.8,7.88,36.0592644736119,126.63827514960822
2024-02-05 03:03:53.906,399,399,1.0,4.11,4.51,3,3,WT2,WT2,5,5,4,FAIR,84.11,3.89,12.16,33.697469303260206,126.59917961645984
2024-02-05 03:09:04.354,350,210,1.669,3.9699999999999998,0.97,5,5,IC1,IC1,9,9,4,FAIR,89.57,3.7199999999999998,8.0,34.46072324267609,126.63247163831626
2024-02-05 03:06:53.408,394,394,1.0,4.13,4.55,3,3,WT2,WT2,5,5,4,FAIR,84.03,3.87,12.11,34.83180921646846,128.36482086555907
2024-02-05 02:55:04.524,366,154,2.3810000000000002,4.11,1.05,5,5,IC1,IC1,9,14,4,FAIR,88.81,3.87,7.94,35.28034992108518,127.65403964045208
2024-02-05 02:56:04.315,336,173,1.937,4.09,1.01,5,5,IC1,IC1,10,10,4,FAIR,88.81,3.87,8.01,36.92587980696507,126.92712089043322
2024-02-05 03:04:04.144,343,183,1.873,3.99,0.9500000000000001,5,5,IC1,IC1,9,10,4,FAIR,89.56,3.77,7.92,33.9983689107918,125.74544884364359
2024-02-05 03:26:53.688,408,416,0.979,4.03,4.53,3,3,WT2,WT2,5,5,4,FAIR,84.95,3.76,12.14,35.57117219206806,125.11069581471072
2024-02-05 03:35:04.146,366,164,2.239,3.71,0.91,5,5,IC1,IC1,9,10,4,FAIR,91.37,3.46,7.97,35.962072844310214,126.09417338793847
2024-02-05 03:22:04.074,313,250,1.249,3.89,0.97,5,5,IC1,IC1,9,8,4,FAIR,89.92,3.59,8.01,33.23225206359999,125.53735701984341
2024-02-05 03:42:04.824,416,269,1.55,3.67,0.81,5,5,IC1,IC1,9,9,4,FAIR,91.03,3.47,7.92,36.03772425950719,128.9272251542612
2024-02-05 03:31:53.870,408,421,0.968,3.9699999999999998,4.43,3,3,WT2,WT2,5,5,4,FAIR,85.16,3.7199999999999998,12.14,33.85262061843646,125.56248978906943
2024-02-05 03:22:54.158,410,415,0.988,3.95,4.51,3,3,WT2,WT2,5,5,4,FAIR,84.92,3.74,12.14,33.3252579649264,128.62114118653417
2024-02-05 03:19:03.994,382,171,2.236,3.93,0.97,5,5,IC1,IC1,9,10,4,FAIR,90.0,3.59,8.04,37.74442768626667,126.92829344888041
2024-02-05 03:32:53.788,410,424,0.968,3.93,4.45,3,3,WT2,WT2,5,5,4,FAIR,85.21,3.7199999999999998,12.14,37.82816016537279,125.36689194871887
2024-02-05 03:29:04.194,386,219,1.7650000000000001,3.77,0.93,5,5,IC1,IC1,9,10,4,FAIR,90.51,3.56,8.02,37.0419867405823,129.06365024715794
2024-02-05 03:50:04.682,330,253,1.304,3.69,0.73,5,5,IC1,IC1,8,8,4,FAIR,91.0,3.48,7.98,34.52306884586685,127.89815285118307
2024-02-05 03:58:04.495,366,293,1.25,3.77,0.65,5,5,IC1,IC1,8,8,4,FAIR,90.31,3.56,7.97,33.48836057003192,126.17880756431786
2024-02-05 03:56:04.487,361,295,1.223,3.81,0.67,5,5,IC1,IC1,8,8,4,FAIR,90.24,3.56,7.84,36.42116513256079,129.47340587166335
2024-02-05 04:04:54.122,418,438,0.9530000000000001,4.05,4.21,3,3,WT2,WT2,5,5,4,FAIR,84.92,3.8200000000000003,12.1,35.20076246869801,125.22629156935275
2024-02-05 03:49:53.678,409,429,0.9540000000000001,3.99,4.31,3,3,WT2,WT2,5,5,4,FAIR,85.13,3.74,12.09,33.61019117422389,126.00909804098882
2024-02-05 04:08:03.975,317,400,0.793,3.77,0.67,5,3,IC1,WT2,5,5,4,FAIR,89.28,3.59,8.0,35.47588455055635,128.7602346390293
2024-02-05 04:02:53.368,418,435,0.961,4.01,4.21,3,3,WT2,WT2,5,5,4,FAIR,85.0,3.8200000000000003,12.1,33.17194260557609,128.54688965154944
2024-02-05 04:08:53.818,418,438,0.9530000000000001,4.03,4.15,3,3,WT2,WT2,5,5,4,FAIR,84.22,3.8200000000000003,12.12,37.54660201039391,126.44635846862239
2024-02-05 03:47:04.903,400,282,1.42,3.67,0.77,5,5,IC1,IC1,8,9,4,FAIR,90.77,3.48,7.8100000000000005,34.293899908000085,125.31012437676391
2024-02-05 03:54:54.158,414,433,0.9550000000000001,4.01,4.27,3,3,WT2,WT2,5,5,4,FAIR,85.34,3.7800000000000002,12.08,36.31261142176991,129.2903903611247
2024-02-05 04:15:04.447,331,298,1.111,3.83,0.5700000000000001,5,3,IC1,WT2,8,8,4,FAIR,89.34,3.5700000000000003,8.03,34.55855538044705,126.56848819034951
2024-02-05 04:14:54.168,419,442,0.9480000000000001,4.01,4.05,3,3,WT2,WT2,5,5,4,FAIR,83.66,3.84,12.13,35.60034010588905,125.97856707464133
2024-02-05 04:16:53.939,420,444,0.9450000000000001,4.07,4.15,3,3,WT2,WT2,5,5,4,FAIR,83.24,3.87,12.13,35.7335513967164,127.58030911180488
2024-02-05 04:18:04.094,380,324,1.174,3.79,0.51,5,3,IC1,WT2,8,8,4,FAIR,89.22,3.59,7.97,33.92427227762764,129.55113599641223
2024-02-05 04:38:03.924,392,348,1.126,3.9699999999999998,0.63,3,3,WT2,WT2,8,8,4,FAIR,88.68,3.76,8.17,37.84792313882279,125.21773288921688
2024-02-05 04:21:53.442,421,446,0.9450000000000001,4.11,4.19,3,3,WT2,WT2,5,5,4,FAIR,83.39,3.89,12.14,36.875664116805574,128.82902044015444
2024-02-05 04:43:53.276,425,451,0.9430000000000001,4.25,4.17,3,3,WT2,WT2,5,5,4,FAIR,82.81,4.01,12.37,37.697494707820944,127.86236613969355
2024-02-05 04:34:04.038,376,309,1.217,3.95,0.61,3,5,WT2,IC1,8,8,4,FAIR,88.99,3.7199999999999998,8.17,37.47413675213824,127.12724558275909
2024-02-05 04:45:04.109,407,325,1.252,4.09,0.71,3,3,WT2,WT2,8,8,4,FAIR,87.79,3.89,8.31,35.98949989405543,128.7204022205253
2024-02-05 04:30:53.418,422,447,0.9450000000000001,4.13,4.21,3,3,WT2,WT2,5,5,4,FAIR,83.71,3.94,12.2,37.609371175115584,129.82912212220816
2024-02-05 04:35:53.848,424,451,0.9400000000000001,4.23,4.27,3,3,WT2,WT2,5,5,4,FAIR,83.45,4.0,12.26,33.442462510259595,126.14603105581345
2024-02-05 04:42:53.334,424,451,0.9400000000000001,4.23,4.17,3,3,WT2,WT2,5,5,4,FAIR,83.0,4.0,12.35,33.97991431209572,125.71823682536059
2024-02-05 04:31:04.075,295,280,1.057,3.93,0.47000000000000003,3,5,WT2,IC1,5,5,4,FAIR,88.96,3.74,8.08,33.226136444552694,129.5644087261135
2024-02-05 04:19:04.117,365,263,1.391,3.85,0.59,3,5,WT2,IC1,8,9,4,FAIR,89.31,3.5700000000000003,7.95,34.626651653816324,128.34476538728651
2024-02-05 04:58:53.929,427,460,0.928,4.29,4.23,3,3,WT2,WT2,5,5,4,FAIR,83.2,4.05,12.63,34.94338644844741,127.18993010780983
2024-02-05 05:00:53.859,426,458,0.931,4.27,4.27,3,3,WT2,WT2,5,5,4,FAIR,83.07,4.04,12.64,34.35674515886948,127.86629785132142
2024-02-05 04:57:03.944,364,315,1.155,4.23,0.73,3,3,WT2,WT2,8,8,4,FAIR,89.02,4.03,8.45,37.14368754575965,128.7280695258812
2024-02-05 04:58:04.043,344,348,0.989,4.23,0.75,3,3,WT2,WT2,5,5,4,FAIR,88.77,3.99,8.48,34.78376663346795,128.86515949352858
2024-02-05 05:02:04.047,389,393,0.991,4.11,0.63,3,3,WT2,WT2,8,5,4,FAIR,88.99,3.91,8.5,34.404672548436906,129.59947090409483
2024-02-05 04:45:53.989,424,452,0.9380000000000001,4.29,4.21,3,3,WT2,WT2,5,5,4,FAIR,83.03,4.05,12.39,35.713480415791246,127.13421394447812
2024-02-05 05:05:53.459,425,452,0.9410000000000001,4.31,4.29,3,3,WT2,WT2,5,5,4,FAIR,82.96,4.07,12.67,33.70462112487381,126.46705455009698
2024-02-05 05:12:03.998,388,355,1.093,4.15,0.79,3,3,WT2,WT2,8,8,4,FAIR,88.64,3.95,8.6,37.0109849037702,128.1983213339492
2024-02-05 05:01:53.738,425,457,0.93,4.29,4.15,3,3,WT2,WT2,5,5,4,FAIR,83.1,4.04,12.64,33.372753218398856,127.07863949639766
2024-02-05 04:46:03.955,393,325,1.211,4.15,0.8300000000000001,3,3,WT2,WT2,8,8,4,FAIR,87.64,3.95,8.35,37.934434683002586,127.97299226974489
2024-02-05 05:16:04.088,475,391,1.216,4.23,0.8300000000000001,3,3,WT2,WT2,5,8,4,FAIR,88.57,4.0,8.7,36.861223846483284,127.09992899227976
2024-02-05 05:41:54.108,426,455,0.936,4.79,4.27,3,3,WT2,WT2,5,5,4,FAIR,80.83,4.54,13.06,33.99357840767086,125.76497893339088
2024-02-05 05:32:04.704,486,411,1.181,4.35,0.91,3,3,WT2,WT2,5,8,4,FAIR,87.69,4.22,8.85,33.027610585618014,127.34713375829479
2024-02-05 05:31:04.746,421,488,0.863,4.43,0.91,3,3,WT2,WT2,5,5,4,FAIR,87.51,4.23,8.85,37.07730714227417,128.45458910970515
2024-02-05 05:39:04.114,386,429,0.9,4.25,0.8300000000000001,3,3,WT2,WT2,5,5,4,FAIR,88.22,4.14,8.92,36.53428671923808,128.99641903833825
2024-02-05 05:25:53.696,426,457,0.933,4.59,4.29,3,3,WT2,WT2,5,5,4,FAIR,81.63,4.37,12.92,36.64503584020494,127.46663138398273
2024-02-05 05:43:53.987,425,457,0.93,4.77,4.27,3,3,WT2,WT2,5,5,4,FAIR,80.75,4.58,13.07,36.856351733429726,125.826189451052
2024-02-05 05:42:04.225,435,477,0.91,4.31,0.87,3,3,WT2,WT2,5,5,4,FAIR,87.64,4.13,9.03,33.37022325867045,127.07343854824715
2024-02-05 05:23:04.307,409,339,1.205,4.33,0.8300000000000001,3,3,WT2,WT2,5,8,4,FAIR,87.35,4.13,8.81,34.792328642721365,128.9314696442085
2024-02-05 05:23:53.868,429,460,0.931,4.57,4.23,3,3,WT2,WT2,5,5,4,FAIR,81.34,4.38,12.91,33.57934529762565,127.06429635308537
2024-02-05 05:39:53.356,1101,1154,0.9540000000000001,4.77,4.35,3,2,WT2,WT1,5,4,4,FAIR,81.09,4.54,13.03,37.315517129377966,128.4826539680211
2024-02-05 05:21:04.204,418,315,1.326,4.31,0.85,3,5,WT2,IC1,5,8,4,FAIR,87.87,4.1,8.71,36.11649063413779,127.53606840839045
2024-02-05 05:20:54.093,426,457,0.933,4.65,4.29,3,3,WT2,WT2,5,5,4,FAIR,81.21,4.36,12.86,34.65449012426325,126.20611562554699
2024-02-05 05:59:04.044,410,408,1.006,4.37,0.75,3,3,WT2,WT2,5,5,4,FAIR,87.77,4.16,8.96,33.31779175143012,128.98075254011536
2024-02-05 06:01:04.178,419,404,1.036,4.31,0.85,3,3,WT2,WT2,5,5,4,FAIR,88.18,4.14,8.82,34.55491160857831,125.42106727035343
2024-02-05 06:05:04.474,438,459,0.9550000000000001,4.17,0.75,3,3,WT2,WT2,5,5,4,FAIR,88.33,4.07,8.83,34.625916610133736,127.62445141377576
2024-02-05 06:14:03.904,403,388,1.038,4.31,0.93,3,3,WT2,WT2,5,5,4,FAIR,87.43,4.14,8.82,36.64803089169032,126.04445517121702
2024-02-05 05:56:04.018,405,372,1.089,4.31,0.79,3,3,WT2,WT2,5,5,4,FAIR,88.27,4.21,8.92,36.18778735677606,125.33532814270689
2024-02-05 05:56:53.969,421,451,0.935,4.8100000000000005,4.31,3,3,WT2,WT2,5,5,4,FAIR,81.67,4.59,13.06,37.436063712881634,127.51466968541624
2024-02-05 06:04:53.449,421,442,0.9530000000000001,4.87,4.33,3,3,WT2,WT2,5,5,4,FAIR,80.81,4.6,13.07,35.36107462580975,127.49781077967462
2024-02-05 06:13:04.774,363,333,1.088,4.31,0.91,3,3,WT2,WT2,5,8,4,FAIR,87.8,4.1,8.83,33.59797122969151,128.5345045083786
2024-02-05 05:58:03.997,410,443,0.926,4.31,1.03,3,3,WT2,WT2,5,5,4,FAIR,87.87,4.17,8.95,36.56622393611497,128.72375346525953
2024-02-05 06:00:53.747,424,449,0.9430000000000001,4.8100000000000005,4.29,3,3,WT2,WT2,5,5,4,FAIR,80.45,4.6,13.06,36.803925243084485,128.63895744346448
2024-02-05 06:08:04.554,379,358,1.058,4.25,0.85,3,3,WT2,WT2,5,5,4,FAIR,88.3,4.08,8.78,35.806385987847484,127.04779366458378
2024-02-05 06:08:54.076,420,440,0.9560000000000001,4.95,4.39,3,3,WT2,WT2,5,5,4,FAIR,80.92,4.68,13.06,36.85483589977281,128.1584489361328
2024-02-05 06:24:03.978,327,288,1.1360000000000001,4.43,0.89,3,5,WT2,IC1,8,8,4,FAIR,87.63,4.34,8.74,35.46897798182195,127.8847262132198
2024-02-05 06:15:53.408,415,430,0.966,5.01,4.35,3,3,WT2,WT2,5,5,4,FAIR,81.56,4.75,13.09,35.61366414690997,127.1078087805846
2024-02-05 06:24:53.543,414,424,0.977,5.07,4.41,3,3,WT2,WT2,5,5,4,FAIR,81.41,4.78,13.12,35.137705091792746,127.98606347092996
2024-02-05 06:26:53.341,411,419,0.983,5.07,4.41,3,3,WT2,WT2,5,5,4,FAIR,81.72,4.79,13.1,33.12709563372048,129.7362393835313
2024-02-05 06:16:53.338,477,479,0.997,4.97,4.29,3,3,WT2,WT2,5,5,4,FAIR,81.65,4.77,13.09,33.539457134966526,125.96446871840689
2024-02-05 06:40:53.812,408,411,0.991,4.95,4.29,3,3,WT2,WT2,5,5,4,FAIR,81.31,4.67,12.99,33.15714592843367,129.52886047892764
2024-02-05 06:31:04.755,349,306,1.139,4.51,0.99,5,3,IC1,WT2,8,8,4,FAIR,87.39,4.31,8.76,36.1820520563189,125.26727756991599
2024-02-05 06:44:53.229,405,399,1.015,4.85,4.31,3,3,WT2,WT2,5,5,4,FAIR,80.29,4.6,12.94,34.57177990538163,126.54194606450831
2024-02-05 06:48:53.659,402,398,1.009,4.77,4.27,3,3,WT2,WT2,5,5,4,FAIR,80.83,4.59,12.84,35.54285345582351,126.44072624305764
2024-02-05 06:48:04.384,335,189,1.768,4.59,0.89,5,5,IC1,IC1,9,10,4,FAIR,86.05,4.39,8.58,37.537832369630465,128.13182553940453
2024-02-05 06:54:04.548,381,112,3.391,4.63,0.89,5,5,IC1,IC1,9,16,4,FAIR,86.79,4.41,8.51,34.24646114574438,125.65612475888645
2024-02-05 06:59:04.448,361,220,1.6440000000000001,4.59,0.85,5,5,IC1,IC1,9,9,4,FAIR,86.74,4.36,8.55,35.05191461517815,129.41173805919877
2024-02-05 07:06:53.318,404,394,1.025,4.71,4.13,3,3,WT2,WT2,5,5,4,FAIR,81.14,4.54,12.64,36.777755692715246,129.1427570423252
2024-02-05 07:02:04.368,365,221,1.6520000000000001,4.55,0.85,5,5,IC1,IC1,9,9,4,FAIR,87.12,4.38,8.44,34.14399082745811,128.26032909842638
2024-02-05 07:16:54.059,396,376,1.052,4.67,3.9699999999999998,3,3,WT2,WT2,5,5,4,FAIR,81.78,4.48,12.49,33.38489954914397,127.29206915896098
2024-02-05 07:19:04.374,370,145,2.5460000000000003,4.41,0.77,5,5,IC1,IC1,10,14,4,FAIR,87.67,4.19,8.37,34.44875726456884,129.6647802107104
2024-02-05 07:17:53.968,404,377,1.071,4.69,4.07,3,3,WT2,WT2,5,5,4,FAIR,82.07,4.48,12.48,33.80610643627002,129.15373277360277
2024-02-05 07:22:04.076,353,143,2.47,4.35,0.81,5,5,IC1,IC1,10,14,4,FAIR,87.03,4.2,8.32,37.64848826171286,127.49657574040623
2024-02-05 07:20:04.656,342,237,1.443,4.31,0.77,5,5,IC1,IC1,10,9,4,FAIR,87.4,4.17,8.35,37.040601897822086,128.50936677227156
2024-02-05 07:24:53.276,393,370,1.063,4.61,4.05,3,3,WT2,WT2,5,5,4,FAIR,82.25,4.44,12.43,36.16701878255212,127.83464976089843
2024-02-05 07:33:03.950,338,192,1.764,4.25,0.61,5,5,IC1,IC1,10,10,4,FAIR,88.51,4.01,8.19,37.35730295093859,127.93971119194133
2024-02-05 07:32:54.109,397,380,1.045,4.51,4.03,3,3,WT2,WT2,5,5,4,FAIR,82.76,4.31,12.35,37.01836038449557,126.65488034718736
2024-02-05 07:43:03.987,348,192,1.815,4.11,0.59,5,5,IC1,IC1,10,10,4,FAIR,88.26,3.9,8.05,33.93285029443018,127.31042302312449
2024-02-05 07:35:53.638,404,392,1.031,4.43,3.91,3,3,WT2,WT2,5,5,4,FAIR,83.18,4.24,12.32,37.462794992449886,125.39060715394872
2024-02-05 07:45:04.347,336,188,1.786,4.05,0.63,5,5,IC1,IC1,9,10,4,FAIR,88.68,3.86,8.1,35.696711209578254,126.78674345832296
2024-02-05 07:37:03.980,327,139,2.351,4.19,0.67,5,5,IC1,IC1,10,14,4,FAIR,88.33,3.95,8.04,37.03720077582031,128.47914257681077
2024-02-05 07:44:53.455,408,400,1.018,4.33,3.89,3,3,WT2,WT2,5,5,4,FAIR,83.49,4.13,12.21,37.48045649961747,129.76608015253092
2024-02-05 07:39:04.327,305,114,2.688,4.15,0.75,5,5,IC1,IC1,9,14,4,FAIR,88.17,3.95,8.12,34.59001737485932,129.8153205638151
2024-02-05 07:52:04.084,377,275,1.373,4.09,0.61,5,5,IC1,IC1,9,9,4,FAIR,89.09,3.86,8.1,33.550259622638386,127.77861434562446
2024-02-05 07:46:04.210,374,195,1.913,4.07,0.61,5,5,IC1,IC1,10,10,4,FAIR,88.55,3.85,8.12,34.13967581270971,128.0331112590479
2024-02-05 08:06:04.258,322,269,1.2,3.91,0.65,5,5,IC1,IC1,5,8,4,FAIR,89.6,3.74,7.95,35.13553894313128,125.92860592750483
2024-02-05 07:59:04.738,313,223,1.399,3.83,0.55,5,5,IC1,IC1,9,9,4,FAIR,89.54,3.73,8.02,37.090073829612464,128.47654054046765
2024-02-05 08:07:53.408,405,392,1.034,4.05,3.75,3,3,WT2,WT2,5,5,4,FAIR,84.79,3.8200000000000003,12.06,37.30365291628172,125.35329396337193
2024-02-05 08:02:53.838,403,389,1.034,4.03,3.69,3,3,WT2,WT2,5,5,4,FAIR,84.19,3.88,12.09,33.034760652655955,126.42342842899723
2024-02-05 08:03:04.077,407,225,1.81,3.93,0.59,5,5,IC1,IC1,5,10,4,FAIR,89.31,3.7,8.04,35.55373651288783,128.3418167364272
2024-02-05 08:10:04.759,376,238,1.579,3.91,0.63,5,5,IC1,IC1,9,9,4,FAIR,89.63,3.7199999999999998,8.01,35.08705501574389,126.55155065771744
2024-02-05 08:14:04.738,298,178,1.671,3.91,0.65,5,5,IC1,IC1,9,9,4,FAIR,89.25,3.69,7.96,34.11053905235365,125.24923437057227
2024-02-05 08:04:53.609,405,392,1.034,4.01,3.65,3,3,WT2,WT2,5,5,4,FAIR,84.45,3.8200000000000003,12.1,33.59932683666841,129.1593520467548
2024-02-05 08:31:53.680,420,430,0.977,3.91,3.65,3,3,WT2,WT2,5,5,4,FAIR,84.81,3.71,11.91,34.68807585701814,126.55165003567282
2024-02-05 08:30:03.939,343,136,2.532,3.87,0.59,5,5,IC1,IC1,8,14,4,FAIR,89.57,3.61,8.07,37.7145485195626,125.3155261242934
2024-02-05 08:34:03.915,357,276,1.292,3.89,0.63,5,5,IC1,IC1,8,8,4,FAIR,89.45,3.5700000000000003,7.93,34.61601466010378,125.37394082251433
2024-02-05 08:44:53.716,419,431,0.972,3.93,3.61,3,3,WT2,WT2,5,5,4,FAIR,84.66,3.75,11.99,35.59395310871683,126.25879399394377
2024-02-05 08:38:03.930,344,241,1.431,3.87,0.63,5,5,IC1,IC1,9,9,4,FAIR,89.4,3.62,7.95,36.515094794475885,125.89007973610764
2024-02-05 08:41:03.898,358,284,1.258,3.87,0.65,5,5,IC1,IC1,8,8,4,FAIR,89.71,3.68,7.89,34.81814801189647,128.87150058890074
2024-02-05 08:51:03.982,336,212,1.58,3.85,0.6900000000000001,5,5,IC1,IC1,9,9,4,FAIR,88.82,3.5700000000000003,7.89,37.858910413604804,126.60842023333517
2024-02-05 08:47:04.710,365,192,1.904,3.85,0.77,5,5,IC1,IC1,8,10,4,FAIR,89.28,3.59,7.93,37.81223647471056,129.02347892519916
2024-02-05 08:45:53.620,419,427,0.98,3.9699999999999998,3.73,3,3,WT2,WT2,5,5,4,FAIR,84.66,3.73,11.99,34.25891147912682,125.86922998911577
2024-02-05 08:57:53.909,419,425,0.986,3.89,3.69,3,3,WT2,WT2,5,5,4,FAIR,84.23,3.7,11.94,35.486242529461926,127.46439589772042
2024-02-05 09:04:04.785,303,167,1.81,3.83,0.73,5,5,IC1,IC1,8,10,4,FAIR,88.66,3.5700000000000003,7.94,34.50439154908385,128.44018566776563
2024-02-05 08:55:04.018,358,221,1.619,3.83,0.63,5,5,IC1,IC1,8,9,4,FAIR,88.66,3.5700000000000003,7.99,34.42420247188734,128.25995426932928
2024-02-05 09:01:04.728,397,304,1.305,3.79,0.73,5,5,IC1,IC1,9,8,4,FAIR,88.61,3.5700000000000003,7.97,33.184434736772666,128.00564704965134
2024-02-05 08:55:53.289,420,427,0.983,3.91,3.67,3,3,WT2,WT2,5,5,4,FAIR,83.99,3.71,11.95,36.047821669899484,129.62410800965586
2024-02-05 09:07:03.948,353,247,1.431,3.75,0.63,5,5,IC1,IC1,9,9,4,FAIR,88.67,3.56,7.88,35.51339511614431,126.14262573853372
2024-02-05 09:11:53.929,430,436,0.986,3.9699999999999998,3.83,3,3,WT2,WT2,5,5,4,FAIR,84.19,3.76,11.93,33.25739375624995,127.46859602231052
2024-02-05 09:06:04.776,344,178,1.932,3.79,0.55,5,5,IC1,IC1,9,10,4,FAIR,88.51,3.56,7.96,34.393232321183056,129.41996275036203
2024-02-05 09:14:53.512,429,437,0.98,3.9699999999999998,3.71,3,3,WT2,WT2,5,5,4,FAIR,84.03,3.73,11.94,37.54132942983327,125.38946882797579
2024-02-05 09:18:04.654,391,286,1.3679999999999999,3.67,0.59,5,5,IC1,IC1,9,8,4,FAIR,88.57,3.55,7.86,34.19780945333486,125.27944134126538
2024-02-05 09:31:53.668,430,438,0.981,3.79,3.79,3,3,WT2,WT2,5,5,4,FAIR,83.84,3.6,11.84,33.724474360456114,126.16651143779146
2024-02-05 09:40:53.138,432,436,0.992,3.73,3.85,3,3,WT2,WT2,5,5,4,FAIR,82.56,3.52,11.82,35.44726380138781,128.16510609769009
2024-02-05 09:26:04.538,332,316,1.05,3.63,0.71,5,3,IC1,WT2,8,5,4,FAIR,88.35,3.49,7.8100000000000005,37.928252270553,126.29939813224904
2024-02-05 09:28:53.327,429,435,0.986,3.81,3.67,3,3,WT2,WT2,5,5,4,FAIR,83.1,3.6,11.85,34.210276357557504,125.95119941904399
2024-02-05 09:37:53.593,429,438,0.978,3.73,3.73,3,3,WT2,WT2,5,5,4,FAIR,82.49,3.54,11.84,36.36067773702939,127.29401157679146
2024-02-05 09:41:04.402,260,232,1.121,3.5700000000000003,0.8300000000000001,5,5,IC1,IC1,9,8,4,FAIR,88.46,3.4,7.66,36.80809807664359,128.06799034384704
2024-02-05 09:45:53.268,430,432,0.994,3.75,3.9699999999999998,3,3,WT2,WT2,5,5,4,FAIR,82.95,3.52,11.78,34.188187719961995,126.2427885350837
2024-02-05 09:48:53.727,430,437,0.983,3.71,3.9699999999999998,3,3,WT2,WT2,5,5,4,FAIR,83.16,3.52,11.77,36.641081743059296,126.50345593361871
2024-02-05 09:53:04.129,333,311,1.071,3.5700000000000003,0.97,5,3,IC1,WT2,9,5,4,FAIR,88.23,3.35,7.65,34.83891566359627,128.06779652405757
